[2026-01-17 10:50:15] [INFO    ] discord.client: logging in using static token
[2026-01-17 10:50:15] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-01-17 10:50:15] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-01-17 10:50:15] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1457622431224172734', 'username': 'Alpha - X', 'avatar': '16382265d3b3b161fbdfb0ee138b1bea', 'discriminator': '8343', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '9649363af5dfafbe6708e72f133030a2', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-01-17 10:50:16] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-01-17 10:50:16] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-01-17 10:50:16] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1457622431224172734', 'name': 'Alpha - X', 'icon': '16382265d3b3b161fbdfb0ee138b1bea', 'description': '', 'type': None, 'bot': {'id': '1457622431224172734', 'username': 'Alpha - X', 'avatar': '16382265d3b3b161fbdfb0ee138b1bea', 'discriminator': '8343', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '9649363af5dfafbe6708e72f133030a2', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'cae00be958d2024ef380df4644c3f18bb75cc25c7e7551da5bdaf699133450f9', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1340221741594841140', 'username': 'itz._.daniel_', 'avatar': 'a_fa88dcd0bd1412f90ca9d1d63424bdf3', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': 'a_61dc9da4218d5a3fef302292bc6e6e12', 'accent_color': None, 'global_name': 'D A N ! E L', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': {'font_id': 10, 'effect_id': 3, 'colors': [0]}, 'banner_color': None, 'clan': {'identity_guild_id': '1457288617473998870', 'identity_enabled': True, 'tag': 'APx™', 'badge': '069910c4ad7696b8989a84b538d4b277'}, 'primary_guild': {'identity_guild_id': '1457288617473998870', 'identity_enabled': True, 'tag': 'APx™', 'badge': '069910c4ad7696b8989a84b538d4b277'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-01-17 10:50:16] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-01-17 10:50:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-394z",{"micros":0.0}]']}}
[2026-01-17 10:50:16] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-01-17 10:50:17] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
